Time (s),Channel 1 (VOLT),Channel 3 (VOLT)
2.916658500000009202e-04,-2.010050559999999875e-01,4.365579023999999544e-03
3.062491824999992451e-04,-2.035176191999999995e-01,4.667086511999999666e-03
3.208325149999993048e-04,-2.060301823999999837e-01,4.667086511999999666e-03
3.354158474999993644e-04,-2.160804351999999762e-01,4.415830271999999709e-03
3.499991799999994241e-04,-2.286432511999999806e-01,4.415830271999999709e-03
3.645825124999994837e-04,-2.386935039999999730e-01,4.365579023999999544e-03
3.791658449999995434e-04,-2.437186303999999970e-01,4.265076527999999215e-03
3.937491774999996030e-04,-2.462311935999999812e-01,4.013820287999999258e-03
4.083325099999996627e-04,-2.537688831999999617e-01,3.913317791999998928e-03
4.229158424999997223e-04,-2.688442623999999781e-01,4.013820287999999258e-03
4.374991749999997820e-04,-2.814070784000000103e-01,3.863066543999999630e-03
4.520825074999998416e-04,-2.839196415999999945e-01,3.561559055999999508e-03
4.666658399999999013e-04,-2.889447679999999630e-01,3.662061551999998971e-03
4.812491724999999609e-04,-3.015075839999999952e-01,3.360554063999999716e-03
4.958325050000000206e-04,-3.140703999999999718e-01,3.159549071999999056e-03
5.104158375000000802e-04,-3.216080895999999800e-01,2.908292831999999967e-03
5.249991700000001399e-04,-3.241206527999999643e-01,2.807790335999999637e-03
5.395825025000001995e-04,-3.266332160000000040e-01,2.757539087999999472e-03
5.541658350000002592e-04,-3.366834687999999964e-01,2.355529103999999888e-03
5.687491675000003188e-04,-3.517588479999999573e-01,2.204775359999999393e-03
5.833325000000003785e-04,-3.592965375999999655e-01,1.953519119999998568e-03
5.979158325000004381e-04,-3.643216639999999895e-01,1.601760383999999149e-03
6.124991650000004978e-04,-3.718593535999999977e-01,1.300252895999999894e-03
6.270824975000005574e-04,-3.844221695999999744e-01,7.977404159999999800e-04
6.416658300000006171e-04,-3.969849855999999511e-01,3.454791839999984959e-04
6.562491625000006767e-04,-4.020101119999999750e-01,-1.570332960000014183e-04
6.708324950000007364e-04,-4.045226751999999593e-01,-9.108020160000004223e-04
6.854158275000007960e-04,-4.095478015999999832e-01,-1.564068240000000831e-03
6.999991600000008557e-04,-4.221106175999999599e-01,-2.167083216000001075e-03
7.145824925000009153e-04,-4.371859967999999763e-01,-3.172108176000000904e-03
7.291658249999992403e-04,-4.422111232000000003e-01,-3.925876896000001642e-03
7.437491574999992999e-04,-4.447236863999999845e-01,-4.629394368000000481e-03
7.583324899999993596e-04,-4.522613759999999927e-01,-5.684670576000000475e-03
7.729158224999994192e-04,-4.698493183999999934e-01,-6.388188048000002783e-03
7.874991549999994789e-04,-4.773870079999999461e-01,-7.292710512000002282e-03
8.020824874999995385e-04,-4.824121343999999700e-01,-8.247484224000001946e-03
8.166658199999995982e-04,-4.849246975999999543e-01,-9.302760432000001939e-03
8.312491524999996578e-04,-4.924623871999999625e-01,-1.040828788800000210e-02
8.458324849999997175e-04,-5.050252031999999947e-01,-1.126255910400000143e-02
8.604158174999997771e-04,-5.201005824000000111e-01,-1.221733281600000109e-02
8.749991499999998368e-04,-5.226131455999999398e-01,-1.282034779200000307e-02
8.895824824999998964e-04,-5.251257087999999795e-01,-1.372487025600000257e-02
9.041658149999999561e-04,-5.326633983999999877e-01,-1.483039771200000273e-02
9.187491475000000157e-04,-5.502513407999999329e-01,-1.543341268800000124e-02
9.333324800000000754e-04,-5.577890303999999411e-01,-1.618718140800000024e-02
9.479158125000001350e-04,-5.628141568000000206e-01,-1.699120137600000288e-02
9.624991450000001947e-04,-5.653267199999999493e-01,-1.774497009600000189e-02
9.770824775000002543e-04,-5.728644095999999575e-01,-1.849873881600000089e-02
9.916658100000003140e-04,-5.879397887999999739e-01,-1.900125129600000254e-02
1.006249142500000374e-03,-6.005026047999999506e-01,-1.975502001600000154e-02
